Date,AAPL_bu,AMT_bu,AMZN_bu,BA_bu,BAC_bu,BHP_bu,COR_bu,CVX_bu,DUK_bu,DVA_bu,ECL_bu,GE_bu,GOOGL_bu,JPM_bu,KO_bu,LLY_bu,META_bu,MMM_bu,MSFT_bu,NEE_bu,NKE_bu,NVDA_bu,PEP_bu,PG_bu,PLD_bu,RIO_bu,SBUX_bu,SLB_bu,SO_bu,SPG_bu,VZ_bu,WFC_bu,XOM_bu
2018-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-14,40.133863418209785,146.85131412280404,86.01361126903916,346.81785990809533,23.38500153669449,34.61543728252128,72.90120725084569,92.42810617604522,72.07477766980102,58.30480438634795,145.284579954395,54.49251828140261,55.12660444279057,88.81216158868062,41.446299914858386,109.94730210791495,149.74616088875345,159.49516574391677,101.33564627525733,39.65012421806852,74.68245532335422,37.89359316768951,97.70006297345326,83.13056887282433,56.554278112450135,30.880616536413736,59.25464742328598,36.89074180926417,38.06523710788038,133.2389031990815,45.25235740188308,42.004086905808485,57.72799526853487
2019-01-15,39.736291646727715,146.2490584824576,86.65815612036184,350.49286002535433,23.615419781150255,34.6850348751893,72.531466471253,92.2165011513323,71.22909339616723,58.018978280082614,144.4523421743066,54.97914835486269,55.34953778789125,89.1051795095136,41.09798790835373,110.443530613715,150.71745728451145,158.7937142830971,101.13386620904672,39.29605579154791,75.27807410184323,38.05402073254224,96.97642863894218,82.07971611872277,56.32951930668242,31.002092084859722,59.06535560029778,37.216269272778355,37.960283716175546,131.32173984478553,45.44927748248434,42.09475656711842,57.1192419696072
2019-01-16,39.4038018342653,146.7607485755734,87.56606871399026,353.66589679064487,24.274842202457336,34.75854201786861,72.58327061247815,92.11112952593875,70.93808432836943,58.141205700626706,144.5486316165966,55.62795855739532,55.589589568254205,89.60464205486113,40.9530618509425,110.72120930189907,151.79545993336998,158.5391725800971,101.48915308330012,39.263292339696335,75.68218933936087,38.25503818004115,96.40828156004521,81.93757927560225,56.63133057375284,31.13932885626887,58.988854079842135,37.44918719205367,38.087523050442414,131.04454851205836,45.55144813208475,42.37392241021474,56.77361226956569
2019-01-17,38.889905167839565,147.23224409303876,88.42413290483438,357.6757250924713,24.93521437149369,34.890414070674616,72.56422682843372,92.27119880377653,70.70585416704276,58.4089789962568,145.15516725703685,56.370503519745,55.898385777074616,90.14490876597877,40.783309756284204,111.03266840347702,152.57781307243405,158.1814612701549,101.84790543248165,39.24254094201872,76.33968497988236,38.47869023146475,96.03030832885533,81.82795961199822,56.875710309248134,31.364460922677573,58.88920211796683,37.72412786868782,38.28186747230791,130.79852099748248,45.623723029715954,42.67781758600552,56.78898471051943
2019-01-18,38.7063445384641,147.70145796632553,89.26810102004538,362.4945166042155,25.540170278918772,35.01482054307994,73.29043491412476,92.74217022296766,70.52728224312828,58.93538719061988,146.2818911301084,57.01011878957475,56.24919283545173,90.93001691827772,40.735322682783284,111.10175572487088,154.19615773627254,158.8739556307657,102.55341888161617,39.298275846670116,76.94721460073738,39.16877000419027,96.03391557570225,81.86670875323553,57.382742318541645,31.528973422571543,58.97682512728812,38.58425369274593,38.498095690977124,131.0341897878456,45.71148515760943,43.08524770395198,57.02411815940546
2019-01-22,38.61756461987828,148.21665642179426,89.50060047350944,365.19656901628093,25.993314644523984,34.966695402867686,73.96863757618755,92.76054580600932,70.10308383091038,59.32668082069734,147.00586926138627,57.178321163867594,56.30931577973569,91.30726629993302,40.76081261569582,111.14876726066822,155.1755463477998,159.0831406060986,102.94882401258214,39.4006293160065,77.14622620607676,39.39913908308371,95.99743717472039,81.87136070795793,57.91078301045438,31.561877965985165,59.21747934203567,39.110463811631774,38.67781217746081,131.36703158267616,45.76247138190358,43.410197426745306,57.1368096194668
2019-01-23,38.64578972308429,148.90239296442616,89.18737611158365,366.7418807805632,26.292477788217564,34.93411977569692,74.36761628658398,92.51909304694237,69.77992658651894,59.56475060810965,147.62092547859544,57.13407090524093,56.12636095318361,91.3710434161443,40.89076036268651,111.33573089505846,154.73814519034786,159.04934475384732,103.36612766975942,39.6216382851953,77.73114194029147,39.539567152876884,96.1539180266067,82.69570871656663,58.45618491897484,31.56056128008497,59.55776276412474,39.39178294835639,38.91839484167422,131.67527036144872,45.86029524268962,43.678839648670646,57.15453959690413
2019-01-24,38.5950317490286,148.8559048789247,88.20820925127789,365.6350662873533,26.46744499580119,34.77839814497524,74.34478508588113,91.38727030148458,69.88555328279372,59.44774248367496,147.11109946234816,56.70434397195523,55.65332183333899,90.88040752888651,40.824621247505696,110.28270220697182,153.80631444765956,157.73537898894187,102.7975692963862,39.805654565278616,77.49622971317058,39.91738285637393,95.9325964937938,82.77801724084539,58.67741922899966,31.51719083353717,59.31142925493198,39.555432080536114,39.094043097279275,131.46309572057112,45.59825961824192,43.62131933887334,56.75816967627167
2019-01-25,38.618121347317,149.62718926653096,88.20443046950992,367.4048610908918,26.791728143108116,34.9088428056119,74.68708347905496,91.30537189618225,69.91958115049054,59.60271179593901,147.49831503103874,56.83502201129986,55.819987227522645,90.9187270802495,40.83030575120839,109.96209687097449,154.48951627775028,158.09094186730087,103.22872445568993,39.79150338315775,77.88937806848375,40.462194647670735,95.93998193716031,83.0264536156024,59.18762641768636,31.73377140136908,59.85155493013116,39.99688375893889,39.19923743213554,132.07902038022812,45.437795944396505,43.78372745873307,56.746111521414335
2019-01-28,38.62276793967217,150.44601881469103,87.76155394470183,368.62399328386823,27.0731690386128,35.00992298591288,75.06982360320025,91.28434783831052,69.8929372434815,59.518888407711,148.14945080069157,56.406766047897314,55.83459027240303,91.04510037831662,40.81029231031353,109.84636877229222,154.79840381910824,158.2298943352562,103.33662445121375,39.790100624735814,78.1910684155106,40.34562927268417,95.92175376610909,83.26847807108076,59.72128065061811,31.95607550656127,60.24230279026105,40.1693951539808,39.27967910567451,132.84358704863442,45.387287352996836,43.82646612463571,56.70182509370192
2019-01-29,38.581929525828706,151.4206104842127,87.18217324343175,369.34855875910057,27.25219153706747,35.2268241270248,75.29978692140223,91.13429218213325,69.84511027346812,59.32713470854606,148.60754842467088,55.97582156168764,55.78949781254949,91.05146373895637,40.81937858352023,109.83567768231897,154.47213187692176,158.87521817090374,103.24526521325252,39.7900028460186,78.359310883795,40.39394632132234,95.80768917802722,83.48855138171137,60.327567727185176,32.389946879136595,60.60392177098672,40.228237152315046,39.3382956576047,133.62180225510224,45.60433982801006,43.83936335162775,56.53398321400453
2019-01-30,39.03144964081117,152.393491769855,86.85667456640512,374.91343651438854,27.35097275774632,35.74777126773689,75.37129935850133,91.01068247258071,69.81058140434415,59.124337622392346,149.5134826029716,55.455738232511074,55.83667229661759,91.06752543651524,40.87422622916899,109.91851345459719,154.24581620892803,159.9064318102918,103.46841775561683,39.788404023466526,78.68994461853967,40.333420944571266,95.8661714594422,83.86065180961099,60.986226442985284,32.86870705713055,61.158145301786284,40.218027612816144,39.38213295254901,134.61141187975585,45.72517527027536,43.86012609052853,56.32031593692526
2019-01-31,39.49279968872298,153.5417994766156,87.08262171684439,378.81311061034995,27.36573910271431,36.23240269257648,76.34693159801384,91.28297492306922,70.20402476687329,58.88180559978123,150.3548362711337,57.11444945465363,56.198411701292926,91.07847962705853,40.97017792749911,110.49060153481155,159.1575095815113,160.98170385437092,103.43434462049964,39.888417189796535,79.01763603307047,40.307321567491165,96.45721404230463,84.61015017658586,61.47161344358437,33.36150198245646,61.629522741044404,40.10855685964566,39.44218629594439,135.29559973286342,45.740094830918196,43.84828660129959,56.41552881348651
2019-02-01,39.75789781291104,154.0197491826416,86.04026204298056,379.5997296174724,27.28288267176968,36.44874727293239,77.09014076288653,92.17072273791123,70.50985791329082,58.22229819719378,150.51509481971198,58.36841808310057,56.1103197411264,90.76807245011793,41.15087671368148,110.74281194779573,161.86297747023394,160.93582236118078,102.59922998330225,39.89072099963191,78.93326636220706,39.9971279407884,96.8257282566826,85.42845377659503,61.717519131247734,33.60565477922687,61.836456822222466,39.955176321148436,39.494346759824836,135.2409356962632,45.78792771258349,43.749289887853024,56.92101247434428
2019-02-04,40.433845495923975,154.47313345093556,85.72951999813029,384.1571391745288,27.308412356292802,36.79542845976762,77.90132074810683,93.39756462760316,70.7825659515684,58.156776082300944,151.27692939876343,59.45808896053782,56.63228955659921,90.92843027199993,41.45496474319006,111.163437982493,165.634011477036,161.72756991568116,102.60757382688338,39.9576271147267,79.08373222548789,39.97676848963807,97.27566322759702,86.27069710281101,62.00379826389953,34.07104368603214,62.068062707091336,39.92185962641465,39.550077049550296,135.69449584778368,45.867803539097885,43.77677509815877,57.276433618191284
2019-02-05,41.154372630571814,155.12450158783537,85.74680654137343,390.98029474018205,27.283158257869726,37.098422162998396,78.89360176905902,94.29915626843122,71.14708986681207,58.126478955166846,151.7754098987815,61.19916859531298,57.1998066287942,91.00031717912958,41.69878611731227,111.5938899602651,169.11429022635662,162.54544391396024,102.7825604521803,40.00838519240746,79.42175575961585,40.04820017160801,97.68113952754449,86.85774569521858,62.282090315513656,34.397078496641605,62.58605945535558,40.02883069789057,39.53194845905101,136.51720124248322,45.916517326108305,43.78452377160131,57.73504069562936
